tile_id,Mg_ha_1_download,Mg_px_1_download,ObjectId,Shape__Area,Shape__Length
00N_080W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_080W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_080W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,11,1245542622548.87,4464169.76558139
00N_090E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_090E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_090E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,12,1245542622548.87,4464169.76558139
00N_090W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_090W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_090W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,13,1245542622548.87,4464169.76558139
00N_100E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_100E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_100E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,14,1245542622548.87,4464169.76558139
00N_100W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_100W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_100W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,15,1245542622548.87,4464169.76558139
00N_110E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_110E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_110E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,16,1245542622548.87,4464169.76558139
00N_120E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_120E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_120E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,17,1245542622548.87,4464169.76558139
00N_130E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_130E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_130E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,18,1245542622548.87,4464169.76558139
00N_140E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_140E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_140E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,19,1245542622548.87,4464169.76558139
00N_150E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_150E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_150E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,20,1245542622548.87,4464169.76558139
00N_160E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_160E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_160E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,21,1245542622548.87,4464169.76558139
10N_000E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_000E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_000E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,22,1245542622548.87,4464169.76558139
10N_010E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_010E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_010E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,23,1245542622548.87,4464169.76558139
10N_010W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_010W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_010W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,24,1245542622548.87,4464169.76558139
10N_020E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_020E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_020E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,25,1245542622548.87,4464169.76558139
10N_020W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_020W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_020W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,26,1245542622548.87,4464169.76558139
10N_030E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_030E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_030E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,27,1245542622548.87,4464169.76558139
10N_040E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_040E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_040E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,28,1245542622548.87,4464169.76558139
10N_050E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_050E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_050E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,29,1245542622548.87,4464169.76558139
10N_050W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_050W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_050W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,30,1245542622548.87,4464169.76558139
10N_060W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_060W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_060W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,31,1245542622548.87,4464169.76558139
10N_070E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_070E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_070E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,32,1245542622548.87,4464169.76558139
10N_070W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_070W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_070W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,33,1245542622548.87,4464169.76558139
10N_080E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_080E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_080E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,34,1245542622548.87,4464169.76558139
10N_080W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_080W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_080W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,35,1245542622548.87,4464169.76558139
10N_090E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_090E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_090E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,36,1245542622548.87,4464169.76558139
10N_090W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_090W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_090W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,37,1245542622548.87,4464169.76558139
10N_100E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_100E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_100E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,38,1245542622548.87,4464169.76558139
10N_100W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_100W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_100W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,39,1245542622548.87,4464169.76558139
10N_110E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_110E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_110E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,40,1245542622548.87,4464169.76558139
10N_120E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_120E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_120E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,41,1245542622548.87,4464169.76558139
10N_130E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_130E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10N_130E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,42,1245542622548.87,4464169.76558139
10S_010E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_010E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_010E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,43,1284783830947.45,4534671.72012493
10S_020E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_020E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_020E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,44,1284783830947.45,4534671.72012493
10S_030E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_030E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_030E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,45,1284783830947.45,4534671.72012493
10S_040E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_040E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_040E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,46,1284783830947.45,4534671.72012493
10S_040W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_040W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_040W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,47,1284783830947.45,4534671.72012493
10S_050E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_050E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_050E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,48,1284783830947.46,4534671.72012493
10S_050W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_050W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_050W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,49,1284783830947.45,4534671.72012493
10S_060W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_060W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=10S_060W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,50,1284783830947.46,4534671.72012493
